specobjID,plate,mjd,fiberID,z
3312456700530812928,2942,54521,215,2.62916
3312447904437790720,2942,54521,183,2.072404
3613094247227564032,3209,54906,296,2.345207
713832396994144256,634,52164,43,2.038848
2158386190099703808,1917,53557,131,2.372508
717263698074298368,637,52174,238,2.664592
719505601813571584,639,52146,202,2.176327
720600716300806144,640,52200,90,2.077395
720580925091506176,640,52200,18,2.410798
721772245537548288,641,52176,256,2.413038
721746407014295552,641,52176,162,2.386942
10335813500686063616,9180,57693,190,2.444652
8820427530643462144,7834,56979,464,2.916413
8825042455470823424,7838,56958,869,2.585876
10564425064622872576,9383,58097,386,2.32384
8825062521558030336,7838,56958,942,2.699124
8820392346271373312,7834,56979,336,2.382911
8820348365806262272,7834,56979,176,2.148125
8820323077038823424,7834,56979,84,2.532391
8821622150144481280,7835,56986,714,2.273492
4769380267029977088,4236,55479,248,2.327909
8821619951121225728,7835,56986,706,2.098833
4769370921181140992,4236,55479,214,2.632385
8820325276062078976,7834,56979,92,2.861038
4769369821669513216,4236,55479,210,2.640371
4769369271913699328,4236,55479,208,2.681849
4769361025576491008,4236,55479,178,2.2754
4769359376309049344,4236,55479,172,2.213402
8820324176550451200,7834,56979,88,2.70774
10555481086934407168,9375,58076,616,2.69059
4769350580216027136,4236,55479,140,2.244153
1300483155181987840,1155,52581,250,2.444802
4769348381192771584,4236,55479,132,2.411196
5251462801457960960,4664,56192,966,2.320979
5251463351213774848,4664,56192,968,2.319658
5255849853171554304,4668,56211,542,2.295057
5255842156590159872,4668,56211,514,2.403503
5251458953167263744,4664,56192,952,2.207786
5784959581076871168,5138,55830,312,2.481087
5784983770332682240,5138,55830,400,2.137294
5784971675704776704,5138,55830,356,2.296277
5784981571309426688,5138,55830,392,2.687128
5784960680588498944,5138,55830,316,2.310615
12460460855589623808,11067,58507,460,2.148486
12460469376804739072,11067,58507,491,2.143024
5785064309559416832,5138,55830,693,2.320647
5785061285902440448,5138,55830,682,2.049069
5785063759803602944,5138,55830,691,2.50894
12460482296066365440,11067,58507,538,2.032696
5785056887855929344,5138,55830,666,2.209963
12460481196554737664,11067,58507,534,2.096434
5786082732808624128,5139,55866,302,2.521799
5786093727924901888,5139,55866,342,2.039439
5786086031343507456,5139,55866,314,2.222563
5786202579576051712,5139,55866,738,2.209089
8580586661330835456,7621,56985,376,2.176508
5786197631773726720,5139,55866,720,2.385771
5779279779389003776,5133,55860,129,2.69139
5779278404999469056,5133,55860,124,2.234018
